Four-Year Schedule,,,,,,,,,,,,,,,,,,,,,Greyed cells indicate that courses will no longer be offered and should be replaced for students who need the course.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F - Fixed date and time O-Online D- Day Time N-Night Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course,Course Title,SP20,SU20,FA20,SP21,SU21,FA21,SP22,SU22,FA23,SP24,SU24,FA24,SP25,SU25,FA25,SP26,SU26,FA26,SP27,SU27,FA27,SP28,SU28,FA28,SP29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC 1105,Introduction to Information Technology,"D,N,O","D,N,O","D,N,O","D,N,O","D,N,O","D,N,O","D,N,O","D,N,O","D,N,O","D,N,O","D,N,O","D,N,O","D,N,O","D,N,O","D,N,O","D,N,O","D,N,O","D,N,O","D,N,O","D,N,O","D,N,O","D,N,O","D,N,O","D,N,O","D,N,O",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC 1301K,Computer Science I,"D,N",D,"D,N","D,N",D,"D,N","D,N",D,D,"D,N",D,"D,N,O","D,N,O",D,"D,N,O","D,N,O",D,"D,N,O","D,N,O",D,"D,N,O","D,N,O","D,N,O","D,N,O","D,N,O",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC 1302K,Computer Science II,"D,N",N,"D,N","D,N",N,"D,N","D,N",N,N,"D,N",D,"D,N,O","D,N,O",N,"D,N,O","D,N,O",N,"D,N,O","D,N,O",N,"D,N,O","D,N,O","D,N,O","D,N,O","D,N,O",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC 1555,Selected Topics in Computer Science,,,,,,,,,,,,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC 2105,Computer Organization,"D,N,O",.,"D,N","D,N,O",.,"D,N","D,N,O",.,D,"D,N",.,"N, O","N, O",.,"N, O","N, O",.,"N, O","N, O",,"N, O","N, O",,"N, O","N, O",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC 2108,Data Structures,"D, N",N,"D,N",D,N,"D,N","D, N",N,N,"D,N",N,"D,N","D,N",N,"D,N","D,N",N,"D,N","D,N",N,"D,N","D,N",N,"D,N","D,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC 2115,Information technology Fundamentals,.,.,.,O,.,O?,.,.,N,.,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC 2125,Internet Programming,O,.,N,O,.,D,O,.,O,.,.,O,O??,.,,D,.,,O,,,O,,,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBR 2159,Fundamentals of Computer Networks,"N,O",,"D,O","N,O",,"D,O","N,O",,"D,O","N,O",,"D,O","N,O",,"D,O","N,O",,"D,O","N,O",,"D,O","N,O",,"D,O","N,O",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBR 2160,Intro to Information Security,"D,N,O",D,"N,O","D,N,O",D,"N, O","D,N,O",D,D,"D,N",D,"N, O","D,O",D,"N, O","D,O",D,"D,O","D,N",D,"N, O","D,O",D,"N, O","D,O",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC 2555,Selected Topics in Computer Science,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBR 3106,Cybersecurity Risk Management,D,.,.,"N,O",.,D,N,.,,,.,D,,.,O,,.,D,,,O,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBR 3108,Defensive Programming,.,.,"D,O",.,.,N,.,.,,N,.,,O??,.,,N,.,,N,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBR 3115,Programming for Data Science (elective),.,.,.,.,.,-,.,?,.,.,.,-,"D,O",.,-,.,.,-,"D,O",,,.,,,"D,O",elective - every other year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC 3118,Graphical User Interface Development,D,.,.,O,.,.,N,.,.,D,.,.,D,.,.,D,.,.,O,,,O,,,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
